text,value
"मोदी  क्या आये दीदी, 
पटेल,बोस, भगत सिंह, राज गुरु, सुखदेव,
सब याद आ गए।

पहले तो नेहरू से बड़ा महान कोई नही था।
   https:// twitter.com/priyankagandhi /status/1189777932379709440   …",0
है कौन ये  मादरचोद,1
आस्था के महापर्व छठी मे जो माँ अपने बच्चों के लिये निर्जला व्रत रखती है वही बच्चा पलायन की मार झेल रहा हो । उस माँ -बेटे का ये निक्कमी  सरकार  नही समझ सकती है । @NitishKumar  @SushilModi  @narendramodi  @PMOIndia,0
वर्ष 2015 में भारत  सरकार  द्वारा 31 अक्टूबर को प्रतिवर्ष राष्ट्रीय एकता दिवस के रूप में मनाने का निर्णय लिया गया । 31 अक्टूबर ही वह दिन है जिस दिन भारत माता को लौह पुरुष सरदार पटेल जैसा हीरा मिला था ।  pic.twitter.com/GCLYgH8Vyg,0
"केजरीवाल  सरकार जो फ्री टिकट देने का ढिंढोरा पीट रही है, उसका सच जानिए, जुड़िए लाइव।  https://www. pscp.tv/w/cIrDzTFkclFl a1pvTGt3amJ8MU95S0FlQXpsYnlLYl1uaQywmU1sX1wGUtyuNXFXyZWoD1eqw9u3nByPzFQK   …",0
"कभी आपने अपने घर पर 1500-2500 रुपए में एक दीया जलाया है?

एक दीये की कीमत मुश्किल से 5रु. और बाती तेल मिला कर अधिकतम 10रु. होगी।

मान लो दीया प्रज्वलित करने आपने एक कर्मचारी 100रु. प्रति दीया भी लगाया तो कीमत 110रू. ही होतीं हैं।

यूपी  सरकार  ने एक दीया लगभग 2400रु. में लिया।",0
बीजेपी को शिवसेना की  गांड  पर लात मारने चाहिए  pic.twitter.com/QIDEJ31A7s,1
"10 साल आपने भी इसी उत्तर प्रदेश की जनता का विश्वास जीता था विकास के नाम पर और विश्वास का नतीजा ये है की न गरीबी गयी न उत्तर प्रदेश का विकास हुआ, हुआ तो सिर्फ विश्वासघात। और आप आज खुद ही अपने  सरकार  की कमियां गिना रहे है। 
@yadavakhilesh https:// twitter.com/yadavakhilesh/ status/1189834901882695685   …",0
क्यों की  गांड़  में डंडा डालने वाले कमजोर है,1
बोलो टोटी चोर क्या मिला pic.twitter.com/0MjqfNGzMj,0
"दिल्ली के पूर्वांचल, बिहार, मिथिला, मैथिली, भोजपुरी संस्थाओं से अनुरोध है कि वे दिल्ली के मुख्यमंत्री श्री अरविंद  केजरीवाल  की घोषणाओं की सच्चाई जानने के लिए सूचना का अधिकार का उपयोग कर जानकारी प्राप्त कर पूरी समीक्षा करें, फिर विश्वास करें। #8505946059,8178949704",0
रंडी  पोर्न स्टार की औलाद प्रकाश राज,1
मोदी  ने राजौरी में जवानों के साथ मनाई दिवाली  https:// hindi.udaipurkiran.com/modi-celebrate d-diwali-with-soldiers-in-rajouri-2/   … pic.twitter.com/AlNfJNENJC,0
# Bhikhari  ये @ImranKhanPTI   बहुत ही शातिर है  बहनचोद  देखा कि 1 साल में कुछ किया तो हु नही तो लगा #Kashmir  का राग अलापने ध्यान हटाने के लिए और #Pakistanis  भी वैसे ही चूतिये है समझ नहीं पा रहे #PoKHamaraHai,1
"जनसंख्या बढ़ाओ देश कब्जाओ..
एक बच्चा पैदा कर उसे डॉक्टर,इंजीनियर,आईपीएस आईएएस, उसेआर्थिक रुप से सम्पन्न बना सकते हैं  
    परन्तु..अब्दुल को तो आठ बच्चे चाहिये क्यो की सत्ता की चाबी तो वोटो में होती हैं... आप कितने मूर्ख..औऱ अब्दुल कितना होशियार .हैं। 
 सरकार  जागो..@narendramodi",0
"जो चीज टूटी है वो लिबरल की  गांड़  है बीबी
दुर्भाग्य ये है कि जुड़ेगी भी नहीं अगले 20-30 साल  https:// twitter.com/tmturkee/statu s/1187623739053068289   …",1
@ KapilMishra_IND  आपने देश और  केजरीवाल  मे से एक को नहीं | आपको नफरत और प्यार मे से एक को चुनना था आपणे नफरत को चुना | ऐसे हि आगे बढिये और जनसंख्या नियंत्रण के नाम पर लोगों मे नफरत फैलाते रहिये |,0
"तकरीबन एक साल बाद रात के 2 बजे उसका फ़ोन आया 
.
.
.
.
.
फिर क्या मेने फ़ोन उठाया और बोला ""रख  मादरचोद  सोने दे"" और काट दिया ।।",1
"राजनीतिक छक्कों और रुदालियों की परम आवश्यकता है,,जो evm पर  रंडी  रोना रो सके 
महाराष्ट्र+हरियाणा
चुनाव",1
"इनके सावरकर आंग्रेजों के सामने झुक कर मरवा लिए,  इनके बाप पाकिस्तानी बिरयानी खा के चले गए 

और इ  भोसडी़  वाला बकैती पेल रहा है",1
इस तर्क के हिसाब से  बहनचोद  का खिताब अकबर ओर मुसलमानों को जाता है ...,1
बचपन में भी  मादरचोद  थे अब महामादरचोद हो गये हो  https:// twitter.com/ashutosh83B/st atus/1189009862459412481   …,1
राजस्थान  सरकार  का एक ही उद्देश्य का साथ सबका विकास राजस्थान  सरकार  योजनाओं के लिए प्रतिबद्ध है आदरणीय जननायक एक ही उद्देश्य है ताकि योजनाओं का लाभ घर-घर ढाणी ढाणी पहुंचे कोई भी योजनाओं से अछूता ना रहे  https:// twitter.com/RajCMO/status/ 1189891430195564544   …,0
"ये झोपड़ी का खरामी ह @prakashraaj  भडवा पोर्न का ही पैदायिस ह इसको तो ये। ही नयी पता होगा की इसका बाप कोन होगा ?
दोगला  ये जब सुनता हु तब हिंदू धर्म को चोट देता ह पता नयी कितनो का खून ह इस हरामज़ादे में  
जिस दिन मिल गया  गांड  मारेगें इस भड़वे का",1
भाई वो गद्दार इसके घर सर्जीकल इस्ट्राइक कर गया ये  चूतिया  समझ नहीं सका   https:// twitter.com/nitesh684287/s tatus/1189035842657898496   …,1
"इसमें विवादित क्या है बे  मादरचोद  देखा नही कमलेश तिवारी को कैसे काट दिया अगर उनपे हथियार होता तो बचा लेते अपने आप को 
मैं तो खरीदूंगा देखता हूं कौन बहन का लंड रोकेगा मुझे",1
# भोसड़ी  के #कालू  तू क्यू नहीं चला जाता तेरे को किसने रोका ! तेरे बाप #कोंग्रेसी  तो गाये थे #अंग्रेजो  के पास अपनी #फ़रयाद  ले के #झाटू_मेन्टल_आदमी  @ashutosh83B   https:// twitter.com/ashutosh83B/st atus/1189116251378860034   …,1
"सहज सरल मृदुभाषी सक्रिय जननेता म.प्र  सरकार  में पूर्व मंत्री वरिष्ट विधायक हमारे बड़े भैया श्री @SanjayPathak3  जी को जन्मदिन की अशेष बधाईयां
आप सदा यूँ ही मुस्कुराते रहें स्वस्थ रहें,मस्त रहें,व्यस्त रहें,मैं ईश्वर से आपके सुदीर्घ और मंगलमय जीवन की कांमना करता हूँ, 
 जय श्री राम pic.twitter.com/puSI3RzdNz",0
"मोदी  जी बोले थे, नोट बन्दी से आतंकवाद समाप्त होगा, फ़िर बोले 370 समाप्त होने से आतंकवाद समाप्त होगा, लेकिन वोह जाहिल थे  ,आतंकवाद तो नेट बन्दी से समाप्त होता है -क्यों",0
"ये भड़वे वही है जो किसी शांतिदूत की पिटाई हो जाती है तो  रंडी  रोना शुरू कर देते...कमलेश तिवारी की नृशंस हत्या पर मुँह से दही जमाये बैठे है।
@ravishndtv  @sardesairajdeep  @BDUTT  @VinodDua7  @ndtv pic.twitter.com/qyTtel9udW",1
"# SardarVallabhbhaiPatel 
आज अगर  मोदी  प्रधानमंत्री है तो अमित शाह के दम पर है, पूरे भारत का शहनशाह है अमित शाह  pic.twitter.com/RNjwNkUAEK",0
केजरीवाल  को रगड़ रगड़ के मारेगा कीर्ति आजाद दरभंगिया तुम भी संतोष गुप्ता दरभंगिया है,0
"अनुच्छेद 370 खत्म होने के बाद आज अस्तिस्व में आए केंद्र शासित प्रदेश जम्मू कश्मीर और लद्दाख में विकास का मार्ग प्रशस्त होने के साथ ही अनुसूचित जाति व आदिवासी समुदाय के साथ हो रहे अन्याय का अंत हुआ है। भाजपा  सरकार  के प्रयासों से देश में एकता, अखंडता का सूर्य उग रहा है।  pic.twitter.com/1xeKnkECim",0
"अबे यह कटुए  भोसड़ी  का कहा से पैदा होते हैं
   M.c हरामखोर कटुआ",1
"अगर पीर- मजारों में दुआएँ कबूल होतीं,
तो कसम श्रीराम जी की ,,
 मोदी  जी PM और योगी जी CM कभी नहीं बनते",0
"ये  भोसड़ी  वाला 
गाली का अविष्कार किसने किया और किया तो किया सामने वाले को बताने कि क्या जरूरत थी कि मै तुमको गाली दे रहा हूँ 
ये गाली है 
तुमको बुरा मानना है  
@BAS_END",1
भाग  मादरचोद  जय चंद,1
अब #राजस्थान  के #जोधपुर  में #नाबालिग  बच्ची से #बलात्कार .. #दरिन्दे  का नाम है “सलीम”हद है  बहनचोद  #सुवरो  की #JusticeForTwinkleSharma  #बलात्कारी  #मुस्लिमो  को #फाँसी  हो pic.twitter.com/M9M79jJDDL,1
अबकी बार #evm_हटाओ_देश_बचाओ   का  रंडी  रोना नही किया विपक्ष ने ?,1
Evm का  रंडी  रोना शुरू हो गया,1
ये हैं भविष्य के  मादरचोद ।,1
लेकिन बीजेपी वाले तो कह रहे है कि ये सब काम करने के लिए फण्ड  मोदी  जी दे रहे है वो भी नेहरू जी के मना करने बावजूद ?,0
"तेरे को जो आज पटेल की याद आ रही हैं वो  मोदी  जी का जादू हैं पगली वरना कल तक तू "" दादी की नाक, दादी की नाक "" खेल रही थी ",0
"योगी  मोदी  शाह सबके सब 5,6,7, भाई बहन है और कुछ गंजेडी जनसंख्या नियंत्रण की बात कर रहे है",0
"# AarPaar  
सरदार पटेल का सपना,  मोदी  ने किया पूरा. क्या ये कहना उचित है?
@AMISHDEVGAN pic.twitter.com/E9sRNKXxNt",0
@ manoj मुफ्त यात्रा अच्छे स्कूल अस्पताल मिनिमम मजदूरी ये सब  केजरीवाल  के सिर्फ चुनावी स्टंट। Hahahaha रिंकिया के पापा तुम भी ऐसा कर दिखाओ है हिम्मत?,0
"जो  मादरचोद  बिस्कुट और टाफी के लालच में अपने पङोसी को अब्बा कह सकते हैं वही हर जगह अपनी स्वार्थसिद्धि के चक्कर में लगे रहते हैं ।

#जय_सिया_राम",1
"तुम ही तो बोल रहे हो उत्तर पूर्वी दिशाओं से हवा आता है पर इधर तो  केजरीवाल  चारो दिशाओं को टारगेट कर रहा है

तो क्या पूरे भारत का धुवा प्रदुषण दिल्ली में आकर रुकता है क्या बाकी जगह नहीं जाता?

ये सब केवल नौटंकी है सारी गंदगी दिल्ली में ही है, इसी कारण दिल्ली आज गैस चैंबर बना हुआ है  pic.twitter.com/BYP2TcmaSC",0
तुम भी लगता है मादर चोद अभी सिह लिख रहे हो लेकिन तनिक देर मे तू  बहनचोद  तु दलित निकलेगा।,1
अरे मूर्ख भाई तेरे बाप का क्या जा रा है। मोदी  को देखो कितने का कपड़ा पहनता है अब जनता का पैसा h,0
दिल्ली  सरकार  का बसों में मार्शल तैनाती का दूसरा दिन   ...क्या एेसे होगी सोती हुई महिला सुरक्षाकर्मियों द्वारा सुरक्षा   मार्शल  अन्नू.   DL-1PD0047  Route no 764 time 11-20am dated 31/10/19  pic.twitter.com/LLJOWyLaRg,0
सुन  मोदी  तुने सामाजिक न्याय के पुरोधा लालु यादव @laluprasadrjd  को फँसाकर सही नहीं किया pic.twitter.com/CBQyuWLv1w,0
"निजी कंपनियों के सामने
नाक रगड़ती भारत  सरकार 
और  सरकार  से ही कर्ज़ लेकर
भारत को खरीदती निजी कंपनीयां,
ये है भारत का वर्तमान। बहुत ही खतरनाक 
व्हाट्सएप कांड से साफ हो गया है कि ये भांड देश बेच रहा है।
देश सुरक्षित हाथो में नही है",0
आपकी तरह सब  चूतिया  नही है,1
@ ravishndtv   बहुत परले दर्जे का  चूतिया  हे रे तूँ।  दलाल मीडिया @ndtv    #Presstitutes   media house.  सारी झूठी खबरें ओर narratives यही से धरातल पर आते हे। जनता जुतियाती भी हे सोचा याद दिला दूँ @sardesairajdeep  भी क़ायदे से पिटे थे अमरीका में भक्तों से।  क्यूँ @Nationalist_Om   जी,1
किल्लिंग humanity में शक है पर तेरी गान्ड पक्की मारी जायेगी  भोसडी  के  https:// twitter.com/free_thinker/s tatus/1186361899601948673   …,1
"सुशील  मोदी , बिहार में नितीश कुमार का पिछलगू बनकर काम कर रहे है...बिहार में खुद का बीजेपी सरकार बनाओ

नितीश कुमार को बिहार के CM के रूप में बहुत समय दिया गया
अब नया बिहार के लिए नया, आक्रामक गिरिराज सिंह चाहिए",0
महबूबा  सरकार  जाने के बाद कश्मीर से पत्थरबाजों की प्रजाति अचानक कैसे विलुप्त हुई इसका अध्ययन करने युरोपीय सासंद कश्मीर पहुचे ।,0
तेरे अल्लाह के गण्ड में लन्ड  भोसड़ी  मुल्ला तेरी अम्मी हिन्दू के लन्ड देख ईद मनाता है,1
"मोदी  सरकार का 2024 तक 100 नए एयरपोर्ट बनाने का प्लान
-हर साल 600 पायलटों को प्रशिक्षित कर दिया जाएगा रोजगार
-छोटे शहरों और गांवों को जोड़ने के लिए 1000 नए हवाई रास्ते शुरू किए जाएंगे
भाजपा सरकार देश के कोने कोने में पहुंचा रही है हवाई यात्रा की सुविधा
#rajeevthakur pic.twitter.com/3qlHQiXEj9",0
कि रवीश कुमार जैसे वामपंथी दीमक और फर्जी उदारवादी और सेकुलर लोग इनके कार्यकर्ताओं की हत्याओं पर इनके पक्ष में बोलेंगे यह प्रश्न भी उदार वादियों से करते हैं  सरकार  हमने इनकी चुनि है और यह चाहते हैं कि हम लोग भी इनकी तरह उदार वादियों से प्रश्न करें,0
ओ हीरो ज्यादा ज्ञान मत दे अपने काम से काम रख और आईन्दा  गाँड  उठाके मत आया करो अपना संभाल,1
"हहहह्ह 

फिर बाद में  रंडी  रोना रोयेगा",1
"# Chhath2019  दिल्ली में रहनेवाले पूर्वांचल वाशियों को गाली देनेवाला दिल्ली का बेशर्म मूर्खमंत्री  केजरीवाल ,
ईद पे मुसलमानों को करता है मालामाल और छठ पे पूर्वांचल वाशियों को करता है घायल I",0
"लवड़िया, ज्यादा बकचोदी न कर, इसी पे बिठा कर तेरे को उड़ा देंगे  बहनचोद ।",1
प्रधानमंत्री नरेंद्र  मोदी  के भाषण के दौरान हिरासत में लिए गए कई आदिवासी  https://www. bbc.com/hindi/india-50 247839   …,0
"जैसे तेरे धर्म मे बाबाओ को पेश की जाती है तेरी बहने और माँ
वैसे ही क्या अब  भोसड़ी  के पहले अपने धर्म का इतिहास तो ठीक कर ले बाद हमे हिन्दू बोल साले शंकर चरसी और बलात्कारी कृष्णा को मैं भगवान नही मानता और अपने धर्म के ग्रंथ पड़ ले जिनको 500 साल पहले लिखा गया है",1
"भैया जरा दिल्ली मेट्रो की बात करलो, इतना ज्यादा किराया है तो  केजरीवाल  को कुछ सब्सिडी उधर भी दे देनी चाहिए",0
भगवान कसम एकदम  चूतिया  हो भोसदिवाले।,1
"सब  सरकार  करे, तुम कुछ न करना",0
ग़द्दारों को रोटी मिल रही है भारत में ... उनके लिए यही बहुत है .. बाक़ी  रंडि  रोना तो पाकिस्तान लेने के बाद भी बंद नहीं हुआ..अब पूरा देश चाहिए उन्हें ..,1
मोदी हो या  केजरीवाल  दोनों संघपुत्र हैं। दोनों की राजनीति सिर्फ लफ्फाजी तक सीमित है।,0
"कुछ नही किया तभी तो  केजरीवाल  जाएगा। तिवारी जी विकल्प है ये सोच कर ही जनता कजरी को निपटायेगा।
@only  manoj tiwari",0
चचा गुरु आदमी हो तुम...तुमने जो बैंक वालो के साथ किया वो  मादरचोद  इसी लायक है..Keep it up चचा  https:// twitter.com/TheVijayMallya /status/1188187114770501635   …,1
"# CPCforBankers  #abolish_iba   मोदी  जी आप हर जगह ये जरूर गाते है कि हमने इत्ते करोड़ जनधन खाते खोल दिया,इत्ता मुद्रा लोन दे दिया ,इत्ता सब्सिडी खातों को लिंक कर दिया , आपके योजनाओं को समय पर पूरा करनेवाले बैंकर की सैलरी की बात आते ही ऐसी चुप्पी क्यों, @PMOIndia  @narendramodi  @ndtv",0
उसका बदला इंदिरा जी के हत्या करके लिया गया। फिर 84 दंगा हुआ को आज़ाद भारत का सबसे भयानक दंगा था जिसमें हजारों बेकसूर सीख मारे गए और मारने वाले सब कांग्रेसी थे ।  सरकार  दंगा कर्मियों को सुरक्षा और साधन प्रदान कर रही थी । सीखो के घर के पते तक  सरकार  ने ही दंगा कर्मियों को दिए 2/2,0
और पटाखे जलाओ पड़ोसी राज्यों में जल रही पराली के खिलाफ कुछ मत बोलो और ठीकरा  केजरीवाल  सरकार के सिर पर फोड़ दो इसी बात के तो पैसे मिलते हैं।  https:// twitter.com/nishantchat/st atus/1189478125920346112   …,0
संघी सुअर सब का लालू के नाम सुनकर  गांड  फट जाती है। मोदी तो पेंट में पेशाब कर देता है लालू के नाम सुनके।,1
यही तो  केजरीवाल  सरकार की खूबसूरती है जनाब,0
भाग  भोसडी  के कही तेरे गाड़ में ना घुस जाए ,1
"खुदवा ली नहीं ये सारे जनता का  चुतिया  काटते हैं, ये देख

 https:// twitter.com/Brahmchaari/st atus/1188052712954499073?s=20   …",1
यही है भारत की हकीकत जो भी  सरकार  की नीतियों पे सवाल उठाए वो नज़र बंद,0
"र  रंडी़  बनना था तने तो दुष्यंत चौटाला  GB Road प चला जादां ,,,
नू अमित शाह के तलवे चाटण की क जरूरत थी साले ||

#dushyantchautala 
#jjp 
#jjpbjp",1
"केजरीवाल  की गन्दी राजनीति है 
यूपी बिहार की जनता को छठ पूजा का रोक लगाया फिर बोलेगा पूजा करो नौटंकी वाज है ये",0
"कतई  चूतिया  हो क्या,,पटाखे से पैसे और वातावरण दोनों खराब होता है",1
का हो मनोज भईया ई का हव तमाशा समझत हउवा की जनता  चुतिया  हव का अरे बस करा बहुत हो गयल ,1
"# स्वागत_योग्य_कदम 
#मोदी_ सरकार  देशवासियो से पास रखे सोने का हिसाब लेने वाली है।
क्या मंदिर-मस्जिद-गुरुद्वारो-चर्चो से भी लेगी क्या?",0
"@ FatherOfAbusers   तुम्हारी अम्मी बहन 20 लाख लोगों से चल चुकी है...   
ओरिजनल नाम नही है साले का ना पहचान हिजड़ो की तरह फेक id बनाकर अपनी अम्मी बहन के लिए ग्राहक ढूंढता है ये  चुतिया  आदमी,।।
पता ही नही तुझे तेरा बाप तो कहां से खुद के नाम से रखेगा कुछ।  
फ़टे निरोध की पैदाईश",1
शुक्र है कि..... वाशबैसिन पर पैर ही धो रहा है..... इसका बस चले तो  गांड  भी धोने लगेगा।,1
"तुझे पता नही हॆ तेरी माँ एक मोलवी से  गाँड  मरवाके आयी थी तब तु पेदा हुअा,साले हलाला की पेदाइश",1
"""एक अंतरराष्ट्रीय दलाल के जरिए  मोदी  सरकार ने भारत की विदेश कूटनीति का एक तमाशा बनाया""  pic.twitter.com/vDOTcwDZtV",0
हाँ तो मर ले धरती के बोझ .... @sardanarohit  and @SureshChavhanke  इनको बददुआ देकर मरियो... इन्होंने बहुत उकसाया है अंध गोबर पैठे  चूतिया  भक्तों को की वो खूब पटाखे छोड़कर प्रदूषण करे और तुझ जैसो की लंका लगाएं... आखिर दलाली में कम्पटीशन भी कम करना है.. प्रदूषण जाए भाड़ में!,1
भोसड़ी  के शक्ल सुवर की तरह है तो बात भी वैसे ही करेगा  pic.twitter.com/24x5pOFzvZ,1
"बहनचोद  आजकल ""couples"" एक दिन में इतनी बार ""i love you"" बोलते है |
उतनी बार तो एक हवन में पंडित भी स्वाहा नहीं बोलता है  
#chutiyape",1
"मोदी  सरकार  देश के हर कोने में पहुंचा रही है हवाई सेवाएं
@PMOIndia pic.twitter.com/qXR4enEGGG",0
"तेरी तो फट रही है अरविंद  केजरीवाल  से,,",0
टोंटी ने 5सालों तक अपनी खालाओं से सफाई में ठुमके लगवाए https:// twitter.com/archanatriv/st atus/1189859004584906753   …,0
"जैसा बीजेपी चुनाव से पहले सर्जिकल स्ट्राइक/बॉर्डर पर गोलीबारी/आतंकवादी हमला/हिन्दू/मुस्लिम/मंदिर/मस्जिद मोदी & शाह को जान का खतरा etc करती है
सब जानते है  केजरीवाल  ने तुम लोगों से बहुत अच्छा काम किया
तुम्हारी तमाम नाकाम कोशिशों के बाद भी की  केजरीवाल  कुछ ना कर पाए फिर भी कर दिखाया",0
गांड़  मरा ना भोश्रीके,1
यशस्वी प्रधानमंत्री नरेन्द्र  मोदी  जी का जम्मू कश्मीर से अनुच्छेद 370 और 35A हटाने के लिए कोटि कोटि आभार    pic.twitter.com/rMkU6cdsFH,0
हलाला की पैदाइश.... लगता है तेरी मा लालु के साथ हीं सोई थी....बगदादी जैसे हीं सारे टपका दिये जायेगें.... जा जरा उसके नाम पर चुडी तोड... रंडी  रोना कर ..तुमलोगो का भतार मारा गया.  ..  https:// twitter.com/khanumarfa/sta tus/1188402300307378177   …,1
"Breaking news 

#केजरीवाल  की फ़्री बस यात्रा के दौरान #मनोज_तिवारी  को “बुरका” पहने देखा गया! ",0
"""बहुत ही ताज़्जुब की बात है एक तरफ़ जहाँ लगभग पिछले 14 साल से शुशील  मोदी  जी बिहार के उपमुख्यमंत्री हैं, पर आज भी वो लालू जी और राबड़ी जी को कोशते नहीं थकते, आख़िर जब आज भी बिहार की जनता उस समय में ही जिये तो फ़िर इस सरकार की क्या ज़रूरत

#BesharmSushilModi",0
गुरु जी @SureshChavhanke  आपकी भी  गांड  फटने लगी हैं क्या जो Z+ सुरक्षा की मांग कर रहे हैं ??,1
"ये एकता और अखंडता की प्रतिज्ञा दिलाने वाले की  सरकार  के कारनामे। 
 https://www. bbc.com/hindi/india-50 247839   …",0
सबके हिसाब से सब ठीक है लेकिन तुम्हारे हिसाब से तो तुम्हारी  गान्ड  का छेद भी ठीक नहीं है तुम्हारा मर्द होना ठीक नहीं है हमारे हिसाब से तुम एक बाप की औलाद हो वो भी हमको ठीक नहीं लगता हा लेकिन तुम एक गद्दार हो जो हमेशा देशद्रोही आतंकवादियों को बचाने का प्रयत्न करता है ये ठीक है,1
एक दूसरे के धर्म को नीचा दिखाने में इतना डूब चुके हैं ट्विटर के  मादरचोद  की वोह इंसान हैं सबसे पहले वोह तक भूल चुके हैं।,1
"फिर एक बार रघुवर  सरकार ,
#AbkiBaar65Paar  
@dasraghubar  @BJP4Jharkhand  @idharampalsingh pic.twitter.com/axla1Vdolm",0
"ही : नाइस बूब्स 
शी : तू भी लगवा ले  भोसडी  के  

#बहुत_हार्ड",1
"देखो अंधभक्तों की  गांड़  में मिर्ची लगी है कि

अंधभक्तों का कहना है कि टकले भोगी, फेंकू गोभी, भानड़वाडी , सुअरगड़ीया, और झांट उखाड़रे,, 
ये सब के सब अपने घरों में इकलौते हैं ??

वो तो नेहरू जी ने इन्हें बदनाम करने के लिए  इनके घर थोड़ा सा प्रसाद ,, थोड़ा सा दे कर चले गए ??",1
रात जीन्ना का सौतेला नेहरुमुल्ला सपने में आया और पूछा cong कैसी है?मैने  गान्ड  में लाल मिर्च और पुंगी डालकर भिखारिस्ताँ भगाया हैं 100cr हिन्दुओ ने  https:// twitter.com/sagarika_India /status/1189805174732181504   …,1
"देश आजाद होते ही अगर नेहरू जी 2 बच्चों का कानून बना देते,
तो  मोदी  जी का जन्म ही नहीं होता ,और ना कांग्रेस की लंका लगती  
.
.
वाक़ई मे सब गलती नेहरू जी की ही है , अब भुगतो 
",0
निश्चित रूप से  केजरीवाल  जी ने सराहनीय कार्य किया है।,0
कांग्रेसी व विपक्ष दिनरात चीखता है  सरकार  के कामकाज से इन्हें जरा भी प्रसन्नता नही ..आखिर जनता ने अपनी पसंद की  सरकार  चुनी ..तो विपक्ष को क्या परेशानी .. सरकार  कौन चलाऐगा ..किसकी मर्जी चलेगी ...।,0
"क्यों  केजरीवाल  का नाम लेना भूल गए क्या ? उन्ही की फ्री सेवा पर ये वार्त्तालाप शुरू हुआ है!  केजरीवाल  ने जंहा से राजनीती शुरू की,जिन मुद्दों पर शुरू की, जिनके ख़िलाफ़ शुरू की, वो सब खंगाल लो पहले फ़िर आप बात बोलना।",0
"देखो तू आ तो गया अपने #आतंकवादी  भाई कि #मौत  पर #आंसू  बहाने #भोसड़ी  के #आतंकी_कनोजिया  भड़वा चादर्मोद 
#भेंचो https:// twitter.com/PJkanojia/stat us/1188742673227644928   …",1
"@ ArvindKejriwal  
 अब पूजन खतम हुआ हे, अब इतने पटाखे छोड़ुगां की ओज़ोन लेयर की  गांड  भी फट जायेगी  https:// twitter.com/KapilMishra_IN D/status/1188486621508685825   …",1
